"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
378,"2018-01-05 17:58:30.4210","2018-01-05 18:04:49.3680",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,31765,"Subscriber",1978,1
669,"2018-01-05 18:00:48.5090","2018-01-05 18:11:57.8810",3183,"Exchange Place",40.7162469,-74.0334588,3209,"Brunswick St",40.7241765,-74.0506564,31687,"Subscriber",1965,1
647,"2018-01-05 18:14:39.1160","2018-01-05 18:25:26.3690",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,31878,"Subscriber",1980,1
357,"2018-01-05 18:17:19.7130","2018-01-05 18:23:16.7350",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,32795,"Subscriber",1980,1
310,"2018-01-05 18:22:22.7740","2018-01-05 18:27:32.8250",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31779,"Subscriber",1981,0
275,"2018-01-05 18:46:35.8870","2018-01-05 18:51:11.5270",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,26252,"Subscriber",1986,1
451,"2018-01-05 22:05:58.9810","2018-01-05 22:13:30.9240",3183,"Exchange Place",40.7162469,-74.0334588,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,31918,"Subscriber",1983,1
227,"2018-01-06 10:41:03.3040","2018-01-06 10:44:51.0250",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29672,"Subscriber",1983,1
833,"2018-01-06 15:48:17.9880","2018-01-06 16:02:11.6420",3183,"Exchange Place",40.7162469,-74.0334588,3202,"Newport PATH",40.7272235,-74.0337589,29635,"Subscriber",1990,1
781,"2018-01-06 17:37:40.1280","2018-01-06 17:50:41.7530",3183,"Exchange Place",40.7162469,-74.0334588,3199,"Newport Pkwy",40.7287448,-74.0321082,29662,"Subscriber",1988,1
